Time, Yaw, Pitch, Roll
sec, deg, deg, deg
73.589, 129.18, -1.07, -2.64
73.621, 129.18, -1.08, -2.64
73.656, 129.18, -1.07, -2.63
73.688, 129.18, -1.08, -2.63
73.721, 129.19, -1.07, -2.62
73.755, 129.19, -1.07, -2.62
73.788, 129.15, -1.11, -2.65
73.822, 129.16, -1.1, -2.65
73.855, 129.15, -1.11, -2.65
73.889, 129.15, -1.11, -2.65
73.922, 129.15, -1.11, -2.65
73.955, 129.16, -1.1, -2.65
73.989, 129.16, -1.11, -2.65
74.021, 129.17, -1.11, -2.65
74.058, 129.17, -1.11, -2.66
74.089, 129.17, -1.11, -2.67
74.122, 129.18, -1.11, -2.67
74.156, 129.19, -1.11, -2.67
74.189, 129.2, -1.11, -2.66
74.223, 129.21, -1.1, -2.66
74.255, 129.21, -1.1, -2.66
74.29, 129.22, -1.1, -2.65
74.322, 129.22, -1.1, -2.65
74.356, 129.23, -1.1, -2.65
74.389, 129.23, -1.09, -2.65
74.422, 129.24, -1.09, -2.65
74.455, 129.25, -1.08, -2.64
74.489, 129.26, -1.08, -2.64
74.522, 129.26, -1.08, -2.64
74.556, 129.26, -1.08, -2.65
74.589, 129.28, -1.07, -2.64
74.623, 129.28, -1.07, -2.64
74.655, 129.29, -1.07, -2.64
74.689, 129.29, -1.07, -2.64
74.722, 129.3, -1.08, -2.64
74.755, 129.3, -1.08, -2.64
74.789, 129.3, -1.09, -2.65
74.822, 129.31, -1.08, -2.65
74.855, 129.32, -1.08, -2.64
74.889, 129.32, -1.08, -2.64
74.922, 129.33, -1.07, -2.63
74.956, 129.34, -1.08, -2.64
74.989, 129.34, -1.08, -2.65
75.023, 129.33, -1.1, -2.66
75.055, 129.34, -1.09, -2.66
75.089, 129.35, -1.09, -2.66
75.122, 129.35, -1.08, -2.66
75.156, 129.36, -1.08, -2.66
75.188, 129.37, -1.08, -2.66
75.222, 129.38, -1.08, -2.66
75.256, 129.4, -1.07, -2.66
75.289, 129.41, -1.06, -2.65
75.322, 129.42, -1.05, -2.65
75.355, 129.43, -1.04, -2.64
75.389, 129.44, -1.03, -2.64
75.421, 129.45, -1.02, -2.63
75.455, 129.46, -1.02, -2.63
75.488, 129.46, -1.03, -2.63
75.522, 129.47, -1.01, -2.62
75.555, 129.47, -1.02, -2.62
75.588, 129.47, -1.02, -2.62
75.622, 129.47, -1.02, -2.62
75.655, 129.47, -1.02, -2.62
75.689, 129.48, -1.02, -2.62
75.722, 129.49, -1.02, -2.61
75.756, 129.5, -1.02, -2.6
75.789, 129.51, -1.01, -2.61
75.822, 129.52, -1.01, -2.6
75.855, 129.52, -1.01, -2.61
75.889, 129.52, -1.01, -2.62
75.922, 129.52, -1.02, -2.62
75.955, 129.52, -1.02, -2.62
75.988, 129.53, -1.02, -2.63
76.022, 129.53, -1.02, -2.63
76.055, 129.54, -1.02, -2.62
76.089, 129.53, -1.02, -2.62
76.122, 129.53, -1.02, -2.64
76.155, 129.54, -1.01, -2.63
76.189, 129.55, -1.01, -2.63
76.223, 129.56, -1.01, -2.63
76.256, 129.56, -1.02, -2.64
76.289, 129.56, -1.02, -2.65
76.323, 129.56, -1.03, -2.65
76.356, 129.57, -1.03, -2.66
76.389, 129.57, -1.04, -2.66
76.423, 129.57, -1.03, -2.67
76.455, 129.58, -1.03, -2.66
76.489, 129.58, -1.03, -2.67
76.522, 129.59, -1.03, -2.66
76.555, 129.6, -1.03, -2.66
76.589, 129.6, -1.03, -2.66
76.622, 129.6, -1.04, -2.66
76.655, 129.6, -1.04, -2.66
76.689, 129.61, -1.04, -2.65
76.722, 129.62, -1.04, -2.65
76.756, 129.62, -1.04, -2.65
76.789, 129.63, -1.05, -2.66
76.822, 129.63, -1.05, -2.66
76.856, 129.63, -1.06, -2.66
76.889, 129.63, -1.07, -2.67
76.923, 129.64, -1.07, -2.67
76.955, 129.63, -1.08, -2.68
76.989, 129.63, -1.08, -2.68
77.022, 129.63, -1.09, -2.68
77.055, 129.63, -1.09, -2.67
77.09, 129.63, -1.09, -2.67
77.122, 129.63, -1.1, -2.67
77.156, 129.63, -1.1, -2.67
77.189, 129.63, -1.1, -2.66
77.222, 129.63, -1.1, -2.67
77.255, 129.62, -1.11, -2.68
77.288, 129.62, -1.11, -2.68
77.322, 129.63, -1.11, -2.68
77.355, 129.63, -1.11, -2.68
77.389, 129.63, -1.11, -2.68
77.422, 129.63, -1.12, -2.68
77.456, 129.63, -1.12, -2.68
77.488, 129.63, -1.11, -2.68
77.523, 129.64, -1.12, -2.68
77.555, 129.64, -1.11, -2.69
77.589, 129.66, -1.11, -2.69
77.622, 129.66, -1.11, -2.69
77.655, 129.66, -1.11, -2.69
77.689, 129.67, -1.11, -2.69
77.721, 129.67, -1.12, -2.69
77.755, 129.66, -1.12, -2.7
77.788, 129.66, -1.13, -2.7
77.822, 129.66, -1.13, -2.7
77.855, 129.66, -1.13, -2.71
77.889, 129.65, -1.14, -2.71
77.922, 129.66, -1.13, -2.72
77.956, 129.65, -1.14, -2.72
77.988, 129.66, -1.14, -2.72
78.023, 129.66, -1.14, -2.72
78.056, 129.66, -1.14, -2.72
78.089, 129.66, -1.13, -2.72
78.122, 129.66, -1.13, -2.72
78.156, 129.67, -1.12, -2.72
78.188, 129.68, -1.13, -2.72
78.222, 129.68, -1.13, -2.71
78.255, 129.68, -1.12, -2.71
78.288, 129.69, -1.11, -2.71
78.322, 129.69, -1.11, -2.71
78.355, 129.69, -1.11, -2.71
78.389, 129.69, -1.11, -2.71
78.422, 129.7, -1.11, -2.72
78.455, 129.7, -1.12, -2.72
78.488, 129.7, -1.13, -2.73
78.522, 129.7, -1.13, -2.72
78.555, 129.71, -1.13, -2.72
78.589, 129.71, -1.13, -2.73
78.622, 129.72, -1.12, -2.72
78.655, 129.72, -1.12, -2.72
78.689, 129.71, -1.13, -2.72
78.721, 129.71, -1.13, -2.72
78.756, 129.71, -1.13, -2.72
78.788, 129.72, -1.13, -2.72
78.823, 129.72, -1.12, -2.71
78.855, 129.72, -1.12, -2.71
78.888, 129.73, -1.12, -2.71
78.922, 129.73, -1.12, -2.71
78.955, 129.73, -1.12, -2.71
78.989, 129.74, -1.13, -2.73
79.022, 129.73, -1.13, -2.73
79.056, 129.73, -1.13, -2.73
79.089, 129.74, -1.13, -2.72
79.122, 129.75, -1.13, -2.72
79.155, 129.75, -1.13, -2.72
79.189, 129.75, -1.13, -2.71
79.222, 129.75, -1.14, -2.72
79.256, 129.76, -1.13, -2.72
79.289, 129.76, -1.13, -2.72
79.322, 129.76, -1.14, -2.72
79.355, 129.76, -1.13, -2.72
79.389, 129.77, -1.13, -2.72
79.422, 129.77, -1.13, -2.72
79.455, 129.78, -1.13, -2.73
79.489, 129.78, -1.14, -2.73
79.522, 129.77, -1.14, -2.73
79.556, 129.77, -1.15, -2.73
79.589, 129.78, -1.15, -2.73
79.622, 129.78, -1.15, -2.73
79.655, 129.78, -1.15, -2.73
79.689, 129.78, -1.16, -2.73
79.722, 129.79, -1.16, -2.73
79.755, 129.78, -1.16, -2.72
79.789, 129.79, -1.16, -2.72
79.822, 129.8, -1.15, -2.72
79.856, 129.8, -1.15, -2.72
79.888, 129.8, -1.16, -2.72
79.921, 129.8, -1.16, -2.72
79.955, 129.8, -1.16, -2.73
79.988, 129.81, -1.17, -2.73
80.022, 129.82, -1.16, -2.73
80.056, 129.82, -1.17, -2.73
80.088, 129.82, -1.18, -2.73
80.123, 129.82, -1.18, -2.74
80.156, 129.83, -1.18, -2.75
80.189, 129.83, -1.19, -2.75
80.222, 129.83, -1.19, -2.75
80.255, 129.83, -1.19, -2.74
80.289, 129.83, -1.19, -2.74
80.322, 129.84, -1.18, -2.74
80.356, 129.84, -1.18, -2.74
80.388, 129.84, -1.18, -2.74
80.423, 129.83, -1.19, -2.74
80.455, 129.83, -1.19, -2.74
80.488, 129.84, -1.19, -2.74
80.522, 129.84, -1.19, -2.75
80.556, 129.85, -1.18, -2.75
80.589, 129.85, -1.18, -2.74
80.622, 129.85, -1.17, -2.74
80.656, 129.85, -1.18, -2.74
80.688, 129.85, -1.18, -2.73
80.723, 129.86, -1.17, -2.73
80.755, 129.86, -1.17, -2.73
80.789, 129.87, -1.17, -2.73
80.822, 129.88, -1.16, -2.72
80.855, 129.9, -1.15, -2.71
80.889, 129.9, -1.14, -2.71
80.921, 129.9, -1.15, -2.71
80.956, 129.91, -1.15, -2.71
80.989, 129.91, -1.15, -2.72
81.022, 129.91, -1.14, -2.72
81.056, 129.91, -1.14, -2.72
81.089, 129.92, -1.14, -2.72
81.121, 129.93, -1.14, -2.72
81.156, 129.93, -1.14, -2.72
81.188, 129.93, -1.15, -2.72
81.223, 129.94, -1.13, -2.71
81.255, 129.95, -1.13, -2.7
81.288, 129.95, -1.13, -2.71
81.323, 129.96, -1.13, -2.7
81.355, 129.96, -1.12, -2.7
81.389, 129.97, -1.11, -2.69
81.422, 129.97, -1.11, -2.69
81.456, 129.98, -1.11, -2.69
81.489, 129.98, -1.11, -2.68
81.522, 129.98, -1.12, -2.69
81.556, 129.98, -1.12, -2.69
81.589, 129.98, -1.12, -2.7
81.622, 129.97, -1.13, -2.71
81.656, 129.98, -1.13, -2.71
81.689, 129.98, -1.13, -2.71
81.722, 129.99, -1.13, -2.71
81.755, 129.98, -1.13, -2.7
81.789, 130.0, -1.13, -2.7
81.822, 130.0, -1.14, -2.7
81.856, 130.0, -1.14, -2.71
81.889, 130.0, -1.14, -2.71
81.923, 130.0, -1.15, -2.71
81.955, 130.0, -1.15, -2.71
81.989, 130.0, -1.14, -2.7
82.022, 130.01, -1.14, -2.7
82.056, 130.01, -1.13, -2.7
82.088, 130.0, -1.13, -2.7
82.122, 130.01, -1.12, -2.7
82.156, 130.01, -1.13, -2.7
82.188, 130.01, -1.12, -2.7
82.223, 130.01, -1.13, -2.7
82.255, 130.01, -1.13, -2.7
82.289, 130.01, -1.12, -2.71
82.322, 130.01, -1.12, -2.7
82.356, 130.01, -1.12, -2.71
82.388, 130.02, -1.11, -2.7
82.422, 130.02, -1.11, -2.7
82.456, 130.03, -1.11, -2.7
82.488, 130.04, -1.09, -2.69
82.523, 130.05, -1.09, -2.68
82.556, 130.07, -1.08, -2.67
82.589, 130.09, -1.06, -2.65
